Methanobrevibacter smithii
Bacteroides thetaiotaomicron
Bacteroides fragilis
Prevotella copri
Prevotella melaninogenica
Parabacteroides distasonis
Butyricimonas virosa
Porphyromonas gingivalis
Capnocytophaga ochracea
Alistipes onderdonkii
Cutibacterium acnes
Corynebacterium amycolatum
Eggerthella lenta
Collinsella aerofaciens
Actinomyces naeslundii
Enterococcus gallinarum
Ruminococcus callidus
Subdoligranulum variabile
Eubacterium limosum
Faecalibacterium prausnitzii
Lactobacillus salivarius
Streptococcus pyogenes
Streptococcus agalactiae
Christensenella minuta
Escherichia coli
Proteus mirabilis
Klebsiella pneumoniae
Aggregatibacter actinomycetemcomitans
Haemophilus influenzae
Thermotoga maritima
